"","Gene","Chromosome"
"94","PIKFYVE","chr2"
"95","TMEM169","chr2"
"96","KCNH8","chr3"
"97","SCN11A","chr3"
"98","CHMP2B","chr3"
"99","MYLK","chr3"
"100","SMC4","chr3"
"101","FXR1","chr3"
"102","ATP13A5","chr3"
"103","PIGG","chr4"
"104","SH3D19","chr4"
"105","RAD1","chr5"
"106","EGFLAM","chr5"
"107","CARD6","chr5"
"108","ELOVL7","chr5"
"109","MAP1B","chr5"
"110","HOMER1","chr5"
"111","HSD17B4","chr5"
"112","SNCAIP","chr5"
"113","PCDHB11","chr5"
"114","PCDHGA5","chr5"
"115","NEDD9","chr6"
"116","TRIM39","chr6"
"117","FKBPL","chr6"
"118","PGK2","chr6"
"119","DST","chr6"
"120","FILIP1","chr6"
"121","BACH2","chr6"
"122","HACE1","chr6"
"123","OGDH","chr7"
"124","PARP12","chr7"
"125","NOS3","chr7"
"126","SLC20A2","chr8"
"127","FAM110B","chr8"
"128","ZNF704","chr8"
"129","CHMP4C","chr8"
"130","MROH5","chr8"
"131","MPDZ","chr9"
"132","SH3GL2","chr9"
"133","IFNA8","chr9"
"134","PIGO","chr9"
"135","PCSK5","chr9"
"136","OR1K1","chr9"
"137","SLC2A6","chr9"
"138","PAEP","chr9"
"139","RET","chr10"
"140","ZNF503","chr10"
"141","PNLIPRP1","chr10"
"142","FANK1","chr10"
"143","OR52N1","chr11"
"144","EML3","chr11"
"145","CCDC88B","chr11"
"146","DPP3","chr11"
"147","RBM14","chr11"
"148","OR2AT4","chr11"
"149","KMT2A","chr11"
"150","HMBS","chr11"
"151","FLI1","chr11"
"152","CACNA1C","chr12"
"153","CLEC4C","chr12"
"154","A2ML1","chr12"
"155","BCAT1","chr12"
"156","ITPR2","chr12"
"157","KMT2D","chr12"
"158","AQP2","chr12"
"159","OR6C1","chr12"
"160","CNPY2","chr12"
"161","NAB2","chr12"
"162","LRP1","chr12"
"163","SLC6A15","chr12"
"164","ADGRD1","chr12"
"165","SUPT16H","chr14"
"166","MIPOL1","chr14"
"167","YLPM1","chr14"
"168","IFT43","chr14"
"169","ISM2","chr14"
"170","SNW1","chr14"
"171","ZNF770","chr15"
"172","AKAP13","chr15"
"173","MAN2A2","chr15"
"174","TMC7","chr16"
"175","MC1R","chr16"
"176","FXR2","chr17"
"177","SPHK1","chr17"
"178","RAX","chr18"
"179","MYO1F","chr19"
"180","SPHK2","chr19"
"181","KCNA7","chr19"
"182","LILRA1","chr19"
"183","EPB41L1","chr20"
"184","SLA2","chr20"
"185","KIAA1755","chr20"
"186","ETS2","chr21"
"187","TRIOBP","chr22"
"188","MCHR1","chr22"
"189","BRD1","chr22"
"190","CHKB","chr22"
"191","MAP3K15","chrX"
"192","PHEX","chrX"
"193","KLHL15","chrX"
"194","FAM47C","chrX"
"195","GPR82","chrX"
"196","IQSEC2","chrX"
"197","HUWE1","chrX"
"198","COL4A6","chrX"
"199","OCRL","chrX"
"200","RPL22","chr1"
"201","PLEKHG5","chr1"
"202","PER3","chr1"
"203","UBE4B","chr1"
"204","ARHGEF10L","chr1"
"205","EIF4G3","chr1"
"206","SRRM1","chr1"
"207","KDF1","chr1"
"208","SLC9A1","chr1"
"209","ZSCAN20","chr1"
"210","CSF3R","chr1"
"211","MACF1","chr1"
"212","SLC5A9","chr1"
"213","FNDC7","chr1"
"214","CSF1","chr1"
"215","MOV10","chr1"
"216","GDAP2","chr1"
"217","ADAMTSL4","chr1"
"218","TPM3","chr1"
"219","ARHGEF11","chr1"
"220","ATP1A2","chr1"
"221","USP21","chr1"
"222","BRINP2","chr1"
"223","KIAA1614","chr1"
"224","ATP2B4","chr1"
"225","RASSF5","chr1"
"226","CR2","chr1"
"227","PLXNA2","chr1"
"228","TRIM54","chr2"
"229","FSHR","chr2"
"230","NRXN1","chr2"
"231","USP34","chr2"
"232","TET3","chr2"
"233","GLI2","chr2"
"234","NR4A2","chr2"
"235","ERMN","chr2"
"236","KCNH7","chr2"
"237","COL5A2","chr2"
"238","CAVIN2","chr2"
"239","SPATS2L","chr2"
"240","MDH1B","chr2"
"241","SMARCAL1","chr2"
"242","PLCD4","chr2"
"243","GRIP2","chr3"
"244","NR2C2","chr3"
"245","TTC21A","chr3"
"246","AC006059.2","chr3"
"247","SCAP","chr3"
"248","BSN","chr3"
"249","SEMA3G","chr3"
"250","MAGI1","chr3"
"251","NXPE3","chr3"
"252","PLCXD2","chr3"
"253","FBXO40","chr3"
"254","TMCC1","chr3"
"255","IL20RB","chr3"
"256","SLC9A9","chr3"
"257","IGSF10","chr3"
"258","SLITRK3","chr3"
"259","MYNN","chr3"
"260","CHRD","chr3"
"261","ETV5","chr3"
"262","UVSSA","chr4"
"263","ADRA2C","chr4"
"264","CRMP1","chr4"
"265","SORCS2","chr4"
"266","WDR1","chr4"
"267","SLIT2","chr4"
"268","PPARGC1A","chr4"
"269","FRYL","chr4"
"270","KDR","chr4"
"271","CLOCK","chr4"
"272","HNRNPDL","chr4"
"273","SEC31A","chr4"
"274","PKD2","chr4"
"275","FAM13A","chr4"
"276","PCDH18","chr4"
"277","GUCY1B1","chr4"
"278","CLPTM1L","chr5"
"279","ADAMTS16","chr5"
"280","MYO10","chr5"
"281","DROSHA","chr5"
"282","C1QTNF3","chr5"
"283","SLC38A9","chr5"
"284","MAP3K1","chr5"
"285","NLN","chr5"
"286","GFM2","chr5"
"287","FNIP1","chr5"
"288","JADE2","chr5"
"289","TRPC7","chr5"
"290","PCDHA3","chr5"
"291","PCDHB5","chr5"
"292","PCDHB12","chr5"
"293","PCDHGC4","chr5"
"294","ARAP3","chr5"
"295","CSF1R","chr5"
"296","C1QTNF2","chr5"
"297","TENM2","chr5"
"298","FGFR4","chr5"
"299","NSD1","chr5"
"300","COL23A1","chr5"
"301","RNF130","chr5"
"302","PXDC1","chr6"
"303","VARS1","chr6"
"304","SYNGAP1","chr6"
"305","ILRUN","chr6"
"306","SRPK1","chr6"
"307","MDGA1","chr6"
"308","DAAM2","chr6"
"309","CRISP2","chr6"
"310","LMBRD1","chr6"
"311","DPPA5","chr6"
"312","BEND3","chr6"
"313","PLAGL1","chr6"
"314","AKAP12","chr6"
"315","AL590867.2","chr6"
"316","FOXK1","chr7"
"317","DNAH11","chr7"
"318","BLVRA","chr7"
"319","POLM","chr7"
"320","GSAP","chr7"
"321","CACNA2D1","chr7"
"322","GRM3","chr7"
"323","TECPR1","chr7"
"324","TRRAP","chr7"
"325","LRGUK","chr7"
"326","NUP205","chr7"
"327","ATP6V0A4","chr7"
"328","KDM7A","chr7"
"329","GSTK1","chr7"
"330","ZNF425","chr7"
"331","SMARCD3","chr7"
"332","HTR5A","chr7"
"333","RBM33","chr7"
"334","UBE3C","chr7"
"335","CSMD1","chr8"
"336","SORBS3","chr8"
"337","UNC5D","chr8"
"338","ANK1","chr8"
"339","OPRK1","chr8"
"340","ZFPM2","chr8"
"341","SYBU","chr8"
"342","PHF20L1","chr8"
"343","FAM135B","chr8"
"344","MROH6","chr8"
"345","MROH1","chr8"
"346","BOP1","chr8"
"347","CPSF1","chr8"
"348","RECQL4","chr8"
"349","KANK1","chr9"
"350","VLDLR","chr9"
"351","BNC2","chr9"
"352","KIF24","chr9"
"353","TMEM8B","chr9"
"354","GRHPR","chr9"
"355","TJP2","chr9"
"356","VPS13A","chr9"
"357","WNK2","chr9"
"358","EPB41L4B","chr9"
"359","C9orf43","chr9"
"360","RABGAP1","chr9"
"361","FIBCD1","chr9"
"362","CAMSAP1","chr9"
"363","PNPLA7","chr9"
"364","ITIH2","chr10"
"365","CUBN","chr10"
"366","BMS1","chr10"
"367","PCDH15","chr10"
"368","USP54","chr10"
"369","ZSWIM8","chr10"
"370","GHITM","chr10"
"371","PAPSS2","chr10"
"372","LCOR","chr10"
"373","RRP12","chr10"
"374","PDZD7","chr10"
"375","SUFU","chr10"
"376","PDCD11","chr10"
"377","CALHM1","chr10"
"378","INPP5F","chr10"
"379","ADAM12","chr10"
"380","PWWP2B","chr10"
"381","OR51F2","chr11"
"382","MICAL2","chr11"
"383","LDHA","chr11"
"384","NAV2","chr11"
"385","SLC35C1","chr11"
"386","CRY2","chr11"
"387","LRP4","chr11"
"388","ZDHHC5","chr11"
"389","AHNAK","chr11"
"390","NXF1","chr11"
"391","SPINDOC","chr11"
"392","POLA2","chr11"
"393","PELI3","chr11"
"394","NUMA1","chr11"
"395","RPS3","chr11"
"396","INTS4","chr11"
"397","KCTD21","chr11"
"398","SLC36A4","chr11"
"399","POU2AF1","chr11"
"400","HTR3A","chr11"
"401","NXPE4","chr11"
"402","TMPRSS4","chr11"
"403","PHLDB1","chr11"
"404","DDX6","chr11"
"405","CXCR5","chr11"
"406","POU2F3","chr11"
"407","VWA5A","chr11"
"408","WNT5B","chr12"
"409","CACNA2D4","chr12"
"410","ANO2","chr12"
"411","GPR162","chr12"
"412","C1R","chr12"
"413","CLEC4A","chr12"
"414","SLC2A13","chr12"
"415","VDR","chr12"
"416","OR8S1","chr12"
"417","GPR84","chr12"
"418","PA2G4","chr12"
"419","MYO1A","chr12"
"420","TMBIM4","chr12"
"421","TMTC2","chr12"
"422","LRRIQ1","chr12"
"423","SCYL2","chr12"
"424","ACACB","chr12"
"425","OAS2","chr12"
"426","MAP1LC3B2","chr12"
"427","SPRING1","chr12"
"428","RHOF","chr12"
"429","HIP1R","chr12"
"430","SNRNP35","chr12"
"431","TMEM132D","chr12"
"432","POLE","chr12"
"433","SPATA13","chr13"
"434","TSC22D1","chr13"
"435","ABCC4","chr13"
"436","MCF2L","chr13"
"437","TFDP1","chr13"
"438","EFS","chr14"
"439","AKAP6","chr14"
"440","BAZ1A","chr14"
"441","SYNE2","chr14"
"442","ACTN1","chr14"
"443","PCNX1","chr14"
"444","SAMD15","chr14"
"445","ZC3H14","chr14"
"446","PSMC1","chr14"
"447","PPP1R13B","chr14"
"448","LACTB","chr15"
"449","ACSBG1","chr15"
"450","CRTC3","chr15"
"451","BAIAP3","chr16"
"452","HMOX2","chr16"
"453","RRN3","chr16"
"454","SYT17","chr16"
"455","LCMT1","chr16"
"456","PRSS8","chr16"
"457","ABCC12","chr16"
"458","RANBP10","chr16"
"459","PDPR","chr16"
"460","DHODH","chr16"
"461","TMEM231","chr16"
"462","MBTPS1","chr16"
"463","IL17C","chr16"
"464","ANKRD11","chr16"
"465","RPH3AL","chr17"
"466","MYO1C","chr17"
"467","VMO1","chr17"
"468","ERAL1","chr17"
"469","LHX1","chr17"
"470","IKZF3","chr17"
"471","KRT33B","chr17"
"472","KRT32","chr17"
"473","CNTNAP1","chr17"
"474","WNK4","chr17"
"475","ZNF652","chr17"
"476","YPEL2","chr17"
"477","STRADA","chr17"
"478","GRIN2C","chr17"
"479","TMC6","chr17"
"480","CYTH1","chr17"
"481","BAIAP2","chr17"
"482","SLC25A52","chr18"
"483","EPG5","chr18"
"484","MBD1","chr18"
"485","REEP6","chr19"
"486","DOT1L","chr19"
"487","PTPRS","chr19"
"488","VAV1","chr19"
"489","CAMSAP3","chr19"
"490","MUC16","chr19"
"491","FBXW9","chr19"
"492","CACNA1A","chr19"
"493","NOTCH3","chr19"
"494","SIN3B","chr19"
"495","MYO9B","chr19"
"496","COLGALT1","chr19"
"497","PIK3R2","chr19"
"498","FKBP8","chr19"
"499","NCAN","chr19"
"500","ZNF429","chr19"
"501","KMT2B","chr19"
"502","ZNF781","chr19"
"503","SIPA1L3","chr19"
"504","RYR1","chr19"
"505","KLC3","chr19"
"506","EML2","chr19"
"507","FKRP","chr19"
"508","ZC3H4","chr19"
"509","BICRA","chr19"
"510","ZNF473","chr19"
"511","ZNF836","chr19"
"512","ZNF701","chr19"
"513","ZNF665","chr19"
"514","NLRP12","chr19"
"515","LILRB1","chr19"
"516","SBK2","chr19"
"517","FIZ1","chr19"
"518","ZFP28","chr19"
"519","ZNF264","chr19"
"520","ZNF419","chr19"
"521","ZSCAN18","chr19"
"522","PDYN","chr20"
"523","FASTKD5","chr20"
"524","C20orf27","chr20"
"525","ESF1","chr20"
"526","DZANK1","chr20"
"527","PLAGL2","chr20"
"528","PLCG1","chr20"
"529","MYBL2","chr20"
"530","SCAF4","chr21"
"531","ITSN1","chr21"
"532","BRWD1","chr21"
"533","B3GALT5","chr21"
"534","PFKL","chr21"
"535","ZNRF3","chr22"
"536","TMPRSS6","chr22"
"537","TNRC6B","chr22"
"538","ASMTL","chrX"
"539","UBQLN2","chrX"
"540","TEX11","chrX"
"541","NEXMIF","chrX"
"542","PRPS1","chrX"
"543","CAPN6","chrX"
"544","HTR2C","chrX"
"545","NKAP","chrX"
"546","ATP1B4","chrX"
"547","BCORL1","chrX"
"548","MAP7D3","chrX"
"549","ATP2B3","chrX"
"550","PLXNB3","chrX"
"551","PDZD4","chrX"
"552","OMA1","chr1"
"553","SH3RF3","chr2"
"554","TMEM177","chr2"
"555","MUC13","chr3"
"556","ADAMTS3","chr4"
"557","ANAPC10","chr4"
"558","OTP","chr5"
"559","ADAMTS19","chr5"
"560","GLRA1","chr5"
"561","H1-4","chr6"
"562","POLR1C","chr6"
"563","IGF2R","chr6"
"564","LRRN3","chr7"
"565","CAPZA2","chr7"
"566","SNTG1","chr8"
"567","ASPH","chr8"
"568","CNBD1","chr8"
"569","CFAP77","chr9"
"570","AC068580.4","chr11"
"571","CRACR2A","chr12"
"572","GTSF1","chr12"
"573","NAP1L1","chr12"
"574","FRY","chr13"
"575","PKD1L2","chr16"
"576","G6PC3","chr17"
"577","MEGF8","chr19"
"578","ZNF813","chr19"
"579","CDKL5","chrX"
"580","SH3KBP1","chrX"
"581","CTBS","chr1"
"582","ATF6","chr1"
"583","SLC35F3","chr1"
"584","HADHA","chr2"
"585","ANKAR","chr2"
"586","SP140","chr2"
"587","COPS9","chr2"
"588","ITPR1","chr3"
"589","BRPF1","chr3"
"590","OGG1","chr3"
"591","XPC","chr3"
"592","GOLGA4","chr3"
"593","XIRP1","chr3"
"594","HRG","chr3"
"595","PRMT9","chr4"
"596","FBXO8","chr4"
"597","SLC6A19","chr5"
"598","ANKRD55","chr5"
"599","HMMR","chr5"
"600","ADGRB3","chr6"
"601","PKHD1L1","chr8"
"602","CAVIN4","chr9"
"603","TNC","chr9"
"604","ITIH5","chr10"
"605","HNRNPF","chr10"
"606","SFXN4","chr10"
"607","PRDX3","chr10"
"608","CCDC73","chr11"
"609","NR1H3","chr11"
"610","PAN2","chr12"
"611","GAS2L3","chr12"
"612","WBP4","chr13"
"613","SERPINA1","chr14"
"614","MAGEL2","chr15"
"615","DECR2","chr16"
"616","DSG1","chr18"
"617","PIK3C3","chr18"
"618","MEX3C","chr18"
"619","FBN3","chr19"
"620","C19orf44","chr19"
"621","SULT2B1","chr19"
"622","SLC24A3","chr20"
"623","CECR2","chr22"
"624","MICALL1","chr22"
"625","SCO2","chr22"
"626","WDR44","chrX"
"627","KCNQ4","chr1"
"628","FGGY","chr1"
"629","ATP5PB","chr1"
"630","TRIM33","chr1"
"631","PHGDH","chr1"
"632","NBPF15","chr1"
"633","FCRL6","chr1"
"634","HHIPL2","chr1"
"635","OBSCN","chr1"
"636","SIPA1L2","chr1"
"637","AMER3","chr2"
"638","NEB","chr2"
"639","HECW2","chr2"
"640","SF3B1","chr2"
"641","ADAM23","chr2"
"642","BTD","chr3"
"643","DLEC1","chr3"
"644","RUVBL1","chr3"
"645","HLTF","chr3"
"646","FGFBP2","chr4"
"647","NUDT9","chr4"
"648","GSTCD","chr4"
"649","ENPEP","chr4"
"650","MARCHF1","chr4"
"651","EXOC3","chr5"
"652","SPEF2","chr5"
"653","SLCO6A1","chr5"
"654","PCDHGB7","chr5"
"655","KCTD16","chr5"
"656","KIAA0319","chr6"
"657","TTBK1","chr6"
"658","SENP6","chr6"
"659","TSPYL4","chr6"
"660","VNN1","chr6"
"661","ADGRG6","chr6"
"662","TULP4","chr6"
"663","POLR1F","chr7"
"664","GPNMB","chr7"
"665","PKD1L1","chr7"
"666","PHTF2","chr7"
"667","NPTX2","chr7"
"668","ZNF277","chr7"
"669","EXOC4","chr7"
"670","TAS2R40","chr7"
"671","OR2A14","chr7"
"672","COL22A1","chr8"
"673","IFNA1","chr9"
"674","SPATA31A3","chr9"
"675","TUT7","chr9"
"676","DBH","chr9"
"677","GLT6D1","chr9"
"678","NRAP","chr10"
"679","JAKMIP3","chr10"
"680","LDHC","chr11"
"681","OR1S2","chr11"
"682","DHCR7","chr11"
"683","FAT3","chr11"
"684","KBTBD3","chr11"
"685","HOATZ","chr11"
"686","KDM2B","chr12"
"687","SSTR1","chr14"
"688","FOXN3","chr14"
"689","CCDC88C","chr14"
"690","BEGAIN","chr14"
"691","RYR3","chr15"
"692","PLA2G4E","chr15"
"693","SLC30A4","chr15"
"694","DMXL2","chr15"
"695","DNAH3","chr16"
"696","CHD9","chr16"
"697","TANGO6","chr16"
"698","CMC2","chr16"
"699","SGSM2","chr17"
"700","SPNS2","chr17"
"701","CFAP52","chr17"
"702","KRT17","chr17"
"703","ABCC3","chr17"
"704","APPBP2","chr17"
"705","EVPL","chr17"
"706","ZNF236","chr18"
"707","FUT3","chr19"
"708","HSPBP1","chr19"
"709","CDH22","chr20"
"710","LAMA5","chr20"
"711","MAP7D2","chrX"
"712","CFAP47","chrX"
"713","EZHIP","chrX"
"714","AJAP1","chr1"
"715","PAPPA2","chr1"
"716","APOB","chr2"
"717","ABCA12","chr2"
"718","RBM44","chr2"
"719","CCDC54","chr3"
"720","ZBBX","chr3"
"721","USP38","chr4"
"722","PRDM9","chr5"
"723","ENC1","chr5"
"724","CARD11","chr7"
"725","CFTR","chr7"
"726","ADGRA2","chr8"
"727","ENPP2","chr8"
"728","JAK2","chr9"
"729","NUDT4","chr12"
"730","C15orf48","chr15"
"731","ZNF319","chr16"
"732","HYDIN","chr16"
"733","RANBP3","chr19"
"734","NWD1","chr19"
"735","UBA2","chr19"
"736","HPN","chr19"
"737","ZNF585B","chr19"
"738","SCAF1","chr19"
"739","VN1R2","chr19"
"740","DNMT3B","chr20"
"741","STK4","chr20"
"742","FRMPD4","chrX"
"743","PRAMEF4","chr1"
"744","MYOM3","chr1"
"745","NIPAL3","chr1"
"746","ADGRB2","chr1"
"747","EPHA10","chr1"
"748","EXO5","chr1"
"749","TTC4","chr1"
"750","SGIP1","chr1"
"751","ZRANB2","chr1"
"752","TNNI3K","chr1"
"753","ERICH3","chr1"
"754","ADGRL4","chr1"
"755","CEPT1","chr1"
"756","HSD3B1","chr1"
"757","NBPF7","chr1"
"758","ADAM30","chr1"
"759","SF3B4","chr1"
"760","C1orf54","chr1"
"761","HRNR","chr1"
"762","FLG","chr1"
"763","LCE4A","chr1"
"764","SPRR4","chr1"
"765","ADAM15","chr1"
"766","BCAN","chr1"
"767","ATP1A4","chr1"
"768","ASTN1","chr1"
"769","ACBD6","chr1"
"770","RNF2","chr1"
"771","GPATCH2","chr1"
"772","MARK1","chr1"
"773","OR2W5","chr1"
"774","PXDN","chr2"
"775","FAM98A","chr2"
"776","MSH2","chr2"
"777","UGP2","chr2"
"778","CLEC4F","chr2"
"779","IGKV1-17","chr2"
"780","IGKV1D-17","chr2"
"781","IGKV1D-16","chr2"
"782","TBC1D8","chr2"
"783","SULT1C3","chr2"
"784","MARCO","chr2"
"785","CNTNAP5","chr2"
"786","POTEF","chr2"
"787","RAB3GAP1","chr2"
"788","ZEB2","chr2"
"789","ACVR1","chr2"
"790","SCN2A","chr2"
"791","ITGA4","chr2"
"792","NBEAL1","chr2"
"793","CRYGA","chr2"
"794","CPS1","chr2"
"795","SPEG","chr2"
"796","CUL3","chr2"
"797","NYAP2","chr2"
"798","SPHKAP","chr2"
"799","TRPM8","chr2"
"800","ANKRD28","chr3"
"801","HHATL","chr3"
"802","RBM15B","chr3"
"803","DNAH1","chr3"
"804","PSMD6","chr3"
"805","ROBO2","chr3"
"806","P2RY14","chr3"
"807","KCNIP4","chr4"
"808","GABRA2","chr4"
"809","CORIN","chr4"
"810","TMPRSS11B","chr4"
"811","UGT2A3","chr4"
"812","CCSER1","chr4"
"813","PDHA2","chr4"
"814","SEC24B","chr4"
"815","PITX2","chr4"
"816","KIAA1109","chr4"
"817","FAT4","chr4"
"818","FSTL5","chr4"
"819","ACSL1","chr4"
"820","ADCY2","chr5"
"821","C5orf49","chr5"
"822","CDH9","chr5"
"823","OSMR","chr5"
"824","FYB1","chr5"
"825","HTR1A","chr5"
"826","CERT1","chr5"
"827","FAM81B","chr5"
"828","PCDHGA3","chr5"
"829","HAVCR1","chr5"
"830","CDHR2","chr5"
"831","HK3","chr5"
"832","GRM6","chr5"
"833","ALDH5A1","chr6"
"834","H3C1","chr6"
"835","H3C7","chr6"
"836","H2BC15","chr6"
"837","ZKSCAN3","chr6"
"838","HLA-F","chr6"
"839","PRRC2A","chr6"
"840","TNXB","chr6"
"841","HLA-DQA1","chr6"
"842","UHRF1BP1","chr6"
"843","GUCA1B","chr6"
"844","SLC25A27","chr6"
"845","IL17A","chr6"
"846","KPNA5","chr6"
"847","CCDC170","chr6"
"848","SYNE1","chr6"
"849","PMS2","chr7"
"850","ETV1","chr7"
"851","FERD3L","chr7"
"852","CDK13","chr7"
"853","SUN3","chr7"
"854","ABCA13","chr7"
"855","IKZF1","chr7"
"856","PCLO","chr7"
"857","SEMA3D","chr7"
"858","ABCB1","chr7"
"859","RUNDC3B","chr7"
"860","STEAP2","chr7"
"861","FOXP2","chr7"
"862","FEZF1","chr7"
"863","SLC13A1","chr7"
"864","POT1","chr7"
"865","BRAF","chr7"
"866","CLEC5A","chr7"
"867","OR6V1","chr7"
"868","SSPOP","chr7"
"869","PXDNL","chr8"
"870","ST18","chr8"
"871","HEY1","chr8"
"872","CSMD3","chr8"
"873","LRRC24","chr8"
"874","SLC1A1","chr9"
"875","CNTLN","chr9"
"876","DENND4C","chr9"
"877","ELAVL2","chr9"
"878","UNC13B","chr9"
"879","TPM2","chr9"
"880","FRMPD1","chr9"
"881","SPATA31A1","chr9"
"882","APBA1","chr9"
"883","OR13C3","chr9"
"884","OR13D1","chr9"
"885","ELP1","chr9"
"886","KIAA1958","chr9"
"887","TLR4","chr9"
"888","LHX6","chr9"
"889","OR1J4","chr9"
"890","RC3H2","chr9"
"891","PTGDS","chr9"
"892","NELFB","chr9"
"893","FBH1","chr10"
"894","ITGA8","chr10"
"895","ANK3","chr10"
"896","HKDC1","chr10"
"897","NRG3","chr10"
"898","LRIT2","chr10"
"899","PLCE1","chr10"
"900","HSPA12A","chr10"
"901","C10orf120","chr10"
"902","MKI67","chr10"
"903","BRSK2","chr11"
"904","NUP98","chr11"
"905","OR51E1","chr11"
"906","OR52N2","chr11"
"907","OR52E6","chr11"
"908","OR52L1","chr11"
"909","CALCA","chr11"
"910","LUZP2","chr11"
"911","FIBIN","chr11"
"912","HIPK3","chr11"
"913","PAMR1","chr11"
"914","LRRC4C","chr11"
"915","OR4P4","chr11"
"916","OR10W1","chr11"
"917","OR5B12","chr11"
"918","TMEM138","chr11"
"919","MUS81","chr11"
"920","XRRA1","chr11"
"921","AASDHPPT","chr11"
"922","C11orf87","chr11"
"923","CBL","chr11"
"924","AP003393.1","chr11"
"925","NECTIN1","chr11"
"926","TMEM225","chr11"
"927","NCAPD2","chr12"
"928","FAM90A1","chr12"
"929","GPR19","chr12"
"930","PIK3C2G","chr12"
"931","TMTC1","chr12"
"932","PLEKHA8P1","chr12"
"933","RAPGEF3","chr12"
"934","SCN8A","chr12"
"935","KRT75","chr12"
"936","KRT2","chr12"
"937","SPRYD3","chr12"
"938","OR9K2","chr12"
"939","C12orf50","chr12"
"940","TMPO","chr12"
"941","UTP20","chr12"
"942","CHPT1","chr12"
"943","STAB2","chr12"
"944","UBE3B","chr12"
"945","OAS1","chr12"
"946","SDS","chr12"
"947","PIWIL1","chr12"
"948","DCLK1","chr13"
"949","MED4","chr13"
"950","OLFM4","chr13"
"951","DIAPH3","chr13"
"952","KLHL1","chr13"
"953","DCAF11","chr14"
"954","FOXG1","chr14"
"955","LRFN5","chr14"
"956","FANCM","chr14"
"957","TXNDC16","chr14"
"958","DACT1","chr14"
"959","ZFYVE26","chr14"
"960","TTLL5","chr14"
"961","ASB2","chr14"
"962","SERPINA12","chr14"
"963","ADSS1","chr14"
"964","IGHD","chr14"
"965","IGHM","chr14"
"966","NDN","chr15"
"967","GABRB3","chr15"
"968","HERC2","chr15"
"969","FMN1","chr15"
"970","INO80","chr15"
"971","FBN1","chr15"
"972","IGDCC4","chr15"
"973","REC114","chr15"
"974","TBC1D21","chr15"
"975","CSPG4","chr15"
"976","ADAMTS7","chr15"
"977","TMC3","chr15"
"978","ZNF592","chr15"
"979","AGBL1","chr15"
"980","FES","chr15"
"981","CHD2","chr15"
"982","ADAMTS17","chr15"
"983","GTF3C1","chr16"
"984","SLC12A3","chr16"
"985","DRC7","chr16"
"986","ZFHX3","chr16"
"987","CDH13","chr16"
"988","GAS8","chr16"
"989","CLUH","chr17"
"990","RCVRN","chr17"
"991","TAOK1","chr17"
"992","NF1","chr17"
"993","PSMC5","chr17"
"994","ASXL3","chr18"
"995","SETBP1","chr18"
"996","SERPINB11","chr18"
"997","STK11","chr19"
"998","S1PR4","chr19"
"999","ADGRE3","chr19"
